Date,Name,Year,Letterboxd URI,Rating
2023-10-10,Salem Witch Trials,2002,https://boxd.it/1F2y,2
2023-10-27,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,3.5
2023-11-01,The Orphanage,2007,https://boxd.it/2bfE,4.5
2023-11-03,Locked In,2023,https://boxd.it/Egxk,1
2023-11-05,Forgotten,2017,https://boxd.it/hAJE,3.5
2023-11-06,The Angel Maker,2023,https://boxd.it/Gboc,2.5
2023-11-08,Ehrengard: The Art of Seduction,2023,https://boxd.it/G7BG,3
2023-11-08,Lifting the Veil: Behind the Scenes of Ehrengard,2023,https://boxd.it/IFPm,4.5
2023-11-10,The Eight Mountains,2022,https://boxd.it/ufRe,4.5
2023-11-12,The Killer,2023,https://boxd.it/u6WE,4
2023-11-15,El Conde,2023,https://boxd.it/Bt4O,2
2023-12-01,10 Days of a Bad Man,2023,https://boxd.it/EDfI,1.5
2023-12-06,A Haunting in Venice,2023,https://boxd.it/zGdg,2.5
2023-12-09,A Nearly Normal Family,2023,https://boxd.it/K7ii,3
2023-12-09,All the Light We Cannot See,2023,https://boxd.it/Jism,3.5
2023-12-09,Bodies,2023,https://boxd.it/JisQ,3.5
2023-12-10,Hocus Pocus,1993,https://boxd.it/1Wgi,2
2023-12-12,Leave the World Behind,2023,https://boxd.it/re0i,4.5
