Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-12-29,Dances with Wolves,1990,https://boxd.it/1xHTet,,,,2009-11-23
2020-12-29,The Color Purple,1985,https://boxd.it/1xHTeD,,,,2009-11-23
2020-12-29,Brokeback Mountain,2005,https://boxd.it/1xHTeN,,,,2009-11-23
2020-12-29,Breathless,1960,https://boxd.it/1xHTeX,,,,2009-11-23
2020-12-29,Breakfast at Tiffany's,1961,https://boxd.it/1xHTf7,,,,2009-11-23
2020-12-29,Boogie Nights,1997,https://boxd.it/1xHTfh,,,,2009-11-23
2020-12-29,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1xHTfr,,,,2009-11-23
2020-12-29,Big,1988,https://boxd.it/1xHTfB,,,,2009-11-23
2020-12-29,Belle de Jour,1967,https://boxd.it/1xHTfL,,,,2009-11-23
2020-12-29,Being There,1979,https://boxd.it/1xHTfV,,,,2009-11-23
2020-12-29,Being John Malkovich,1999,https://boxd.it/1xHTg5,,,,2009-11-23
2020-12-29,Batman,1989,https://boxd.it/1xHTgf,,,,2009-11-23
2020-12-29,The Ballad of Narayama,1983,https://boxd.it/1xHTgp,,,,2009-11-23
2020-12-29,The American Friend,1977,https://boxd.it/1xHTgz,,,,2009-11-23
2020-12-29,All About My Mother,1999,https://boxd.it/1xHTgJ,,,,2009-11-23
2020-12-29,3-Iron,2004,https://boxd.it/1xHTgT,,,,2009-11-23
2020-12-29,Blood Diamond,2006,https://boxd.it/1xHTh3,,,,2009-11-23
2020-12-29,Barry Lyndon,1975,https://boxd.it/1xHTi1,,,,2009-11-23
2020-12-29,Toy Story 2,1999,https://boxd.it/1xHTib,,,,2009-11-23
2020-12-29,Mulholland Drive,2001,https://boxd.it/1xHTil,,,,2009-11-23
2020-12-29,All Quiet on the Western Front,1930,https://boxd.it/1xHTiv,,,,2009-11-23
2020-12-29,Spartacus,1960,https://boxd.it/1xHTiF,,,,2009-11-23
2020-12-29,Planet of the Apes,1968,https://boxd.it/1xHTiP,,,,2009-11-23
2020-12-29,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/1xHTiZ,,,,2009-11-23
2020-12-29,The Diving Bell and the Butterfly,2007,https://boxd.it/1xHTj9,,,,2009-11-23
2020-12-29,Little Miss Sunshine,2006,https://boxd.it/1xHTjj,,,,2009-11-23
2020-12-29,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/1xHTjt,,,,2009-11-23
2020-12-29,(500) Days of Summer,2009,https://boxd.it/1xHTjD,,,,2009-11-23
2020-12-29,Rocky,1976,https://boxd.it/1xHTjN,,,,2009-11-23
2020-12-29,Mystic River,2003,https://boxd.it/1xHTjX,,,,2009-11-23
2020-12-29,Magnolia,1999,https://boxd.it/1xHTk7,,,,2009-11-23
2020-12-29,Kill Bill: Vol. 2,2004,https://boxd.it/1xHTkh,,,,2009-11-23
2020-12-29,Crash,2004,https://boxd.it/1xHTkr,,,,2009-11-23
2020-12-29,Big Fish,2003,https://boxd.it/1xHTkB,,,,2009-11-23
2020-12-29,Good Will Hunting,1997,https://boxd.it/1xHTkL,,,,2009-11-23
2020-12-29,Rosemary's Baby,1968,https://boxd.it/1xHTkV,,,,2009-11-23
2020-12-29,Ed Wood,1994,https://boxd.it/1xHTl5,,,,2009-11-23
2020-12-29,Grave of the Fireflies,1988,https://boxd.it/1xHTlf,,,,2009-11-23
2020-12-29,The Killing,1956,https://boxd.it/1xHTlp,,,,2009-11-23
2020-12-29,Children of Men,2006,https://boxd.it/1xHTlz,,,,2009-11-23
2020-12-29,Casino,1995,https://boxd.it/1xHTlJ,,,,2009-11-23
2020-12-29,The Incredibles,2004,https://boxd.it/1xHTlT,,,,2009-11-23
2020-12-29,Twelve Monkeys,1995,https://boxd.it/1xHTmx,,,,2009-11-23
2020-12-29,Dog Day Afternoon,1975,https://boxd.it/1xHTmH,,,,2009-11-23
2020-12-29,V for Vendetta,2005,https://boxd.it/1xHTmR,,,,2009-11-23
2020-12-29,Amores Perros,2000,https://boxd.it/1xHTn1,,,,2009-11-23
2020-12-29,Scarface,1983,https://boxd.it/1xHTnb,,,,2009-11-23
2020-12-29,Groundhog Day,1993,https://boxd.it/1xHTnl,,,,2009-11-23
2020-12-29,The Terminator,1984,https://boxd.it/1xHTnv,,,,2009-11-23
2020-12-29,Toy Story,1995,https://boxd.it/1xHTnF,,,,2009-11-23
2020-12-29,The Graduate,1967,https://boxd.it/1xHTnP,,,,2009-11-23
2020-12-29,The Lion King,1994,https://boxd.it/1xHTnZ,,,,2009-11-23
2020-12-29,Finding Nemo,2003,https://boxd.it/1xHTo9,,,,2009-11-23
2020-12-29,Wild Strawberries,1957,https://boxd.it/1xHToj,,,,2009-11-23
2020-12-29,The Bourne Ultimatum,2007,https://boxd.it/1xHTot,,,,2009-11-23
2020-12-29,The Big Lebowski,1998,https://boxd.it/1xHToD,,,,2009-11-23
2020-12-29,Million Dollar Baby,2004,https://boxd.it/1xHToN,,,,2009-11-23
2020-12-29,Snatch,2000,https://boxd.it/1xHToX,,,,2009-11-23
2020-12-29,Platoon,1986,https://boxd.it/1xHTp7,,,,2009-11-23
2020-12-29,Kill Bill: Vol. 1,2003,https://boxd.it/1xHTph,,,,2009-11-23
2020-12-29,The Sixth Sense,1999,https://boxd.it/1xHTpr,,,,2009-11-23
2020-12-29,There Will Be Blood,2007,https://boxd.it/1xHTpB,,,,2009-11-23
2020-12-29,Cool Hand Luke,1967,https://boxd.it/1xHTpL,,,,2009-11-23
2020-12-29,Donnie Darko,2001,https://boxd.it/1xHTpV,,,,2009-11-23
2020-12-29,Heat,1995,https://boxd.it/1xHTq5,,,,2009-11-23
2020-12-29,Princess Mononoke,1997,https://boxd.it/1xHTqf,,,,2009-11-23
2020-12-29,Fargo,1996,https://boxd.it/1xHTqp,,,,2009-11-23
